Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
MMM,3m,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,66740,1902
AOS,a. o. smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916
ABT,abbott laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800,1888
ABBV,abbvie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888)
ACN,accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989
ADBE,adobe inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982
AMD,advanced micro devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969
AES,aes corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981
AFL,aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955
A,agilent technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872,1999
APD,air products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969,1940
ABNB,airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,1559720,2008
AKAM,akamai technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998
ALB,albemarle corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994
ARE,alexandria real estate equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994
ALGN,align technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149,1997
ALLE,allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908
LNT,alliant energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,1917
ALL,allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,899051,1931
GOOGL,alphabet inc. (class a),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998
GOOG,alphabet inc. (class c),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998
MO,altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985
AMZN,amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1018724,1994
